AVERAGED ALTITUDE UPTO THAT INSTANT,Pressure (milliBar),Temp Celcius
17.1748,1009.6227,31
32.1036,1009.587,31
28.3604,1009.6182,31
20.0813,1009.6487,31
8.0325,1009.6906,31
1.8496,1009.6778,31
2.3403,1009.6367,31
-0.6606,1009.6689,31
-1.4679,1009.6524,31
-1.9553,1009.6502,31
-4.8041,1009.6828,31
-4.2937,1009.6417,31
-2.9472,1009.6276,31
-0.4152,1009.6043,31
-1.9024,1009.6701,31
-3.9304,1009.6836,31
-4.6318,1009.6619,31
-3.0239,1009.614,31
-2.0999,1009.626,31
-2.0742,1009.6447,31
-2.68,1009.6602,31
-1.5613,1009.6171,31
-0.6778,1009.6208,31
0.9909,1009.596,31
1.7016,1009.6208,31
1.687,1009.6415,31
2.6618,1009.6096,31
2.3026,1009.6514,31
3.4076,1009.6021,31
3.2236,1009.6453,31
5.1311,1009.5684,31
6.1846,1009.5967,31
5.1644,1009.6759,31
5.4555,1009.6252,31
4.288,1009.685,31
3.9194,1009.6535,31
3.3421,1009.664,31
2.976,1009.6552,31
1.8293,1009.6931,31
2.0279,1009.6317,31
1.1407,1009.684,31
0.044,1009.6968,31
0.1659,1009.637,31
-0.018,1009.652,31
-0.5108,1009.6691,31
0.471,1009.5899,31
0.2586,1009.6541,31
-0.7927,1009.7027,31
-1.1216,1009.6632,31
-0.8297,1009.6273,31
-1.145,1009.6632,31
-1.1179,1009.6429,31
-1.2763,1009.6541,31
-1.7224,1009.6729,31
-1.5373,1009.6333,31
-1.5052,1009.6429,31
-1.8681,1009.6691,31
-2.2186,1009.6691,31
-2.4766,1009.6638,31
-3.0694,1009.6885,31
-3.0451,1009.6445,31
-3.3796,1009.6713,31
-3.2546,1009.6378,31
-2.1179,1009.5599,31
-1.9837,1009.6354,31
-2.298,1009.6697,31
-2.1966,1009.6378,31
-2.1721,1009.6436,31
-1.9109,1009.6242,31
-1.2117,1009.5868,31
-0.9341,1009.6211,31
-0.8808,1009.6398,31
-0.4199,1009.604,31
-0.507,1009.651,31
-0.4615,1009.6398,31
-0.1495,1009.6152,31
-0.175,1009.6452,31
-0.3489,1009.6591,31
-0.5519,1009.6623,31
-0.9281,1009.6794,31
-1.0406,1009.6548,31
-1.2084,1009.6607,31
-1.0633,1009.6301,31
-1.5854,1009.6965,31
-2.2195,1009.7092,31
-2.5624,1009.681,31
-3.0796,1009.6997,31
-3.2488,1009.6644,31
-3.6992,1009.6943,31
-3.8577,1009.6644,31
-4.0476,1009.6682,31
-4.3023,1009.6756,31
-4.8527,1009.7092,31
-5.6443,1009.7376,31
-5.8742,1009.6756,31
-6.0827,1009.6735,31
-6.4341,1009.6906,31
-6.665,1009.6778,31
-6.9073,1009.6794,31
-7.113,1009.6756,31
-7.4873,1009.6965,31
-7.8077,1009.6911,31
-7.8191,1009.6533,31
-7.6626,1009.6329,31
-7.8513,1009.6756,31
-8.0515,1009.6778,31
-7.7169,1009.6099,31
-7.9733,1009.6853,31
-8.5062,1009.7218,31
-8.7219,1009.6816,31
-8.5933,1009.6367,31
-8.6959,1009.6666,31
-9.0492,1009.7009,31
-9.0069,1009.6479,31
-9.3743,1009.704,31
-9.8857,1009.7248,31
-10.1626,1009.6934,31
-10.3944,1009.6875,31
-10.6979,1009.6987,31
-11.0755,1009.7098,31
-11.2417,1009.68,31
-11.1192,1009.6388,31
-11.2952,1009.6822,31
-11.43,1009.6762,31
-11.5541,1009.6748,31
-11.8609,1009.7031,31
-11.8382,1009.6538,31
-11.8324,1009.656,31
-12.0316,1009.6875,31
-12.0813,1009.665,31
-12.4167,1009.7098,31
-12.6589,1009.6956,31
-12.8538,1009.689,31
-12.7066,1009.6351,31
-12.7025,1009.6575,31
-12.8889,1009.6881,31
-12.6906,1009.6262,31
-12.8361,1009.6822,31
-13.0479,1009.6934,31
-13.351,1009.7089,31
-13.6124,1009.7031,31
-13.6505,1009.6657,31
-13.6992,1009.6672,31
-13.5784,1009.6388,31
-13.6123,1009.665,31
-13.8014,1009.6918,31
-13.8908,1009.6748,31
-13.8398,1009.6507,31
-14.0023,1009.6881,31
-14.1274,1009.6822,31
-14.3803,1009.7052,31
-14.3378,1009.6524,31
-14.4099,1009.6732,31
-14.4193,1009.662,31
-14.7626,1009.7239,31
-14.8238,1009.6716,31
-14.891,1009.6732,31
-15.0677,1009.694,31
-15.1557,1009.6774,31
-15.2294,1009.6753,31
-15.4401,1009.7015,31
-15.6481,1009.7015,31
-15.591,1009.6507,31
-15.5475,1009.6529,31
-15.5142,1009.6545,31
-15.6977,1009.6978,31
-15.784,1009.6791,31
-15.7498,1009.6545,31
-15.8349,1009.6791,31
-16.0775,1009.7111,31
-16.1071,1009.6679,31
-16.2899,1009.6999,31
-16.5226,1009.7105,31
-16.6463,1009.6881,31
-16.5331,1009.6395,31
-16.5232,1009.6604,31
-16.5672,1009.6716,31
-16.5394,1009.6566,31
-16.4913,1009.6524,31
-16.4261,1009.6486,31
-16.3558,1009.647,31
-16.3531,1009.662,31
-16.4456,1009.6828,31
-16.5975,1009.6956,31
-16.5935,1009.662,31
-16.6833,1009.6828,31
-16.8992,1009.7111,31
-16.9302,1009.67,31
-16.9357,1009.6641,31
-16.7214,1009.6149,31
-16.8829,1009.6999,31
-16.861,1009.6582,31
-16.8832,1009.6679,31
-17.0004,1009.6903,31
-16.8171,1009.6208,31
-17.0791,1009.7246,31
-17.1721,1009.6849,31
-17.4217,1009.7224,31
-17.3182,1009.6395,31
-17.295,1009.6582,31
-17.2589,1009.6545,31
-17.5031,1009.7224,31
-17.8152,1009.7396,31
-17.9092,1009.6873,31
-18.0151,1009.6903,31
-18.115,1009.6887,31
-18.2419,1009.6962,31
-18.3829,1009.6999,31
-18.5174,1009.6984,31
-18.7538,1009.7246,31
-19.0181,1009.7321,31
-19.1851,1009.7081,31
-19.4771,1009.7401,31
-19.4923,1009.67,31
-19.5368,1009.6774,31
-19.625,1009.6887,31
-19.6977,1009.6849,31
-19.7746,1009.6866,31
-19.7591,1009.6625,31
-19.787,1009.6737,31
-19.7788,1009.6641,31
-19.8635,1009.6887,31
-19.9403,1009.6873,31
-19.9527,1009.67,31
-20.1177,1009.7111,31
-20.2695,1009.7081,31
-20.427,1009.7097,31
-20.4185,1009.6647,31
-20.6155,1009.7209,31
-20.7143,1009.6947,31
-20.5514,1009.6229,31
-20.5266,1009.6604,31
-20.5179,1009.6647,31
-20.6425,1009.7022,31
-20.7435,1009.6962,31
-20.7004,1009.6551,31
-20.9364,1009.7343,31
-21.1171,1009.7192,31
-21.1459,1009.676,31
-21.1877,1009.6804,31
-21.0428,1009.6267,31
-20.7953,1009.5968,31
-20.4727,1009.5744,31
-20.5621,1009.6931,31
-20.5321,1009.6588,31
-20.5689,1009.6782,31
-20.5348,1009.6573,31
-20.614,1009.6909,31
-20.4654,1009.6237,31
-20.4195,1009.6536,31
-20.4434,1009.6744,31
-20.4986,1009.684,31
-20.5032,1009.6685,31
-20.4641,1009.6551,31
-20.618,1009.714,31
-20.5788,1009.6557,31
-20.6817,1009.699,31
-20.7531,1009.6894,31
-21.0056,1009.746,31
-20.9959,1009.6647,31
-21.1382,1009.7124,31
-21.3036,1009.7199,31
-21.4295,1009.7081,31
-21.4324,1009.6691,31
